original,regenerated,pos,meaning_ja,violations_before,violations_after,notes
suke,suke,adj,好き,OK,OK,
take,take,adj,暗い,OK,OK,
tene,tene,adj,危険な,OK,OK,
tike,tike,adj,厚い,OK,OK,
tipe,tipe,adj,異なる,OK,OK,
tote,tute,adj,汚い,OK,OK,衝突分化 x1
traie,tulaie,adj,乾いた,uses_r;cluster_or_coda@0:tr,OK,
trone,tulone,adj,強い,uses_r;cluster_or_coda@0:tr,OK,
true,tulue,adj,本当の,uses_r;cluster_or_coda@0:tr,OK,
use,use,adj,役に立つ,OK,OK,
usre,usule,adj,役に立たない,uses_r;cluster_or_coda@1:sr,OK,
waite,waite,adj,白い,OK,OK,
wete,wete,adj,濡れた,OK,OK,
wike,wike,adj,弱い,OK,OK,
wite,wite,adj,広い,OK,OK,
wome,wome,adj,暖かい,OK,OK,
aki,aki,adv,再び,OK,OK,
aroe,aloi,adv,いつも,uses_r;missing_suffix:expected_i,OK,
arone,aloni,adv,一人で,uses_r;missing_suffix:expected_i,OK,
boni,poni,adv,良く,invalid_char:b,OK,
ermo,elumi,adv,ほとんど,uses_r;cluster_or_coda@1:rm;missing_suffix:expected_i,OK,
hiri,ili,adv,ここで,invalid_char:h,OK,
jeti,jeti,adv,まだ,OK,OK,
kani,kani,adv,できる,OK,OK,
kuti,kuti,adv,良く,OK,OK,
lasi,lasi,adv,大きく,OK,OK,
masi,masi,adv,ねばならない,OK,OK,
mei,mei,adv,かもしれない,OK,OK,
mor,moli,adv,もっと,uses_r;cluster_or_coda@2:r;missing_suffix:expected_i,OK,
mos,mosi,adv,最も,cluster_or_coda@2:s;missing_suffix:expected_i,OK,
naui,naui,adv,今,OK,OK,
nepo2,nepi,adv,決してない,missing_suffix:expected_i,OK,
nipo,nipi,adv,十分に,missing_suffix:expected_i,OK,
onri,onuli,adv,だけ,uses_r;cluster_or_coda@1:nr,OK,
opo2,opi,adv,しばしば,missing_suffix:expected_i,OK,
oreti,oleti,adv,すでに,uses_r,OK,
orso,olusi,adv,もまた,uses_r;cluster_or_coda@1:rs;missing_suffix:expected_i,OK,
pasti,pasuti,adv,速く,cluster_or_coda@2:st,OK,
pati,pati,adv,悪く,OK,OK,
peri,peli,adv,とても,uses_r,OK,
reti,leti,adv,遅く,uses_r,OK,
sili,sili,adv,静かに,OK,OK,
somo,somi,adv,時々,missing_suffix:expected_i,OK,
spesi,supesi,adv,特に,cluster_or_coda@0:sp,OK,
sroi,suloi,adv,ゆっくりと,uses_r;cluster_or_coda@0:sr,OK,
suni,suni,adv,すぐに,OK,OK,
sute,suti,adv,ずっと,missing_suffix:expected_i,OK,
suti,sati,adv,べき,OK,OK,衝突分化 x1
teri,teli,adv,そこで,uses_r,OK,
tui,tui,adv,すぎる,OK,OK,
tuke,tuki,adv,一緒に,missing_suffix:expected_i,OK,
pas,pasu,marker,過去,cluster_or_coda@2:s;non_vowel_ending,OK,
fut,putu,marker,未来,invalid_char:f,OK,
kon,konu,marker,進行,cluster_or_coda@2:n;non_vowel_ending,OK,
pin,pinu,marker,完了,cluster_or_coda@2:n;non_vowel_ending,OK,
no,no,marker,否定,OK,OK,
ka,ka,marker,疑問,OK,OK,
ta,ta,marker,関係,OK,OK,
wut,wutu,marker,仮定,cluster_or_coda@2:t;non_vowel_ending,OK,
